"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\App1.Android.csproj", "XML", 0, 98, 0, 0, 0, 98
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\MainActivity.cs", "C#", 17, 0, 0, 0, 3, 20
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Properties\AndroidManifest.xml", "XML", 0, 6, 0, 0, 1, 7
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Properties\AssemblyInfo.cs", "C#", 17, 0, 0, 10, 4, 31
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Resources\Resource.designer.cs", "C#", 2742, 0, 0, 2074, 2170, 6986
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Resources\mipmap-anydpi-v26\icon.xml", "XML", 0, 5, 0, 0, 0, 5
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Resources\mipmap-anydpi-v26\icon_round.xml", "XML", 0, 5, 0, 0, 0, 5
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Resources\values\colors.xml", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Resources\values\styles.xml", "XML", 0, 5, 0, 11, 2, 18
"c:\Users\joach\Desktop\xf10\App1\App1\App1.Android\Usings.cs", "C#", 4, 0, 0, 0, 1, 5
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\App.xaml", "XML", 0, 5, 0, 0, 0, 5
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\App.xaml.cs", "C#", 44, 0, 0, 34, 10, 88
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\App1.UWP.csproj", "XML", 0, 166, 0, 0, 0, 166
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\MainPage.xaml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\MainPage.xaml.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\Properties\AssemblyInfo.cs", "C#", 14, 0, 0, 13, 2, 29
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\Properties\Default.rd.xml", "XML", 0, 5, 0, 21, 5, 31
"c:\Users\joach\Desktop\xf10\App1\App1\App1.UWP\Usings.cs", "C#", 6, 0, 0, 0, 0, 6
